"Location","LocationName","Postcode","AddressLine","HB2014","HSCP2016","CA2011","IZ2011","DZ2011"
"Y110H","Newton Stewart Hospital","DG8 6LZ","Newton Stewart","S08000017","S37000006","S12000006","S02001412","S01007513"
"Y114H","Thornhill Hospital","DG3 5AA","Thornhill","S08000017","S37000006","S12000006","S02001420","S01007561"
"Y120H","Annan Hospital","DG12 6NQ","Stapleton Road, Annan","S08000017","S37000006","S12000006","S02001442","S01007671"
"Y124H","Cromarty","DG9 7JL","Sun Street, Stranraer","S08000017","S37000006","S12000006","S02001406","S01007487"
"Y126H","Acorn House","DG1 4SR","Kingholm Road, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007600"
"Y129H","Wellgreen Cottages","DG1 4TD","Glencaple Road, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007599"
"Y130H","Innistaigh","DG9 7EH","Dalrymple Street, Stranraer","S08000017","S37000006","S12000006","S02001407","S01007492"
"Y132H","Cardoness","DG1 4TG","Bankend Road, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007599"
"Y134H","Treastaigh","DG12 6JP","Stapleton Road, Annan","S08000017","S37000006","S12000006","S02001442","S01007671"
"Y135H","Nithview Day Hospital","DG1 2SD","Nithbank, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007600"
"Y136H","Laurel Bank (CETU)","DG1 2SA","Nithbank, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007600"
"Y138H","Heather Lodge (CETU)","DG1 2SA","Nithbank, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007600"
"Y142H","Lismore","DG12 5HJ","41A Prestonfield Road, Annan","S08000017","S37000006","S12000006","S02001442","S01007666"
"Y144H","Galloway Community Hospital","DG9 7DQ","Dalrymple Street, Stranraer","S08000017","S37000006","S12000006","S02001407","S01007492"
"Y145H","Midpark Hospital","DG1 4TN","Bankend Road, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007598"
"Y146H","Dumfries & Galloway Royal Infirmary","DG2 8RX","Cargenbridge, Dumfries","S08000017","S37000006","S12000006","S02001426","S01007594"
"F701H","Cameron Hospital","KY8 5RR","Cameron Bridge, Windygates, Fife","S08000029","S37000032","S12000047","S02001812","S01009616"
"F704H","Victoria Hospital","KY2 5AH","Hayfield Road, Kirkcaldy","S08000029","S37000032","S12000047","S02001793","S01009522"
"F705H","Victoria Maternity Unit","KY2 5AH","Hayfield Road, Kirkcaldy","S08000029","S37000032","S12000047","S02001793","S01009522"
"F708H","Adamson Hospital","KY15 4JG","Bank Street, Cupar","S08000029","S37000032","S12000047","S02001827","S01009687"
"F709H","St Andrews Community Hospital","KY16 8AR","Largo Road, St Andrews","S08000029","S37000032","S12000047","S02001836","S01009730"
"F710H","Randolph Wemyss Memorial Hospital","KY8 1HU","Wellesley Road, Buckhaven","S08000029","S37000032","S12000047","S02001813","S01009619"
"F711H","Whytemans Brae Hospital","KY1 2ND","Whytemans Brae, Kirkcaldy","S08000029","S37000032","S12000047","S02001793","S01009522"
"F712H","Stratheden Hospital","KY15 5RR","Stratheden, By Springfield, Cupar","S08000029","S37000032","S12000047","S02001826","S01009681"
"F714H","Weston Day Hospital","KY15 4AN","West Port, Cupar","S08000029","S37000032","S12000047","S02001827","S01009689"
"F716H","Glenrothes Hospital","KY7 5TG","Lodge Rise, Glenrothes, Fife","S08000029","S37000032","S12000047","S02001807","S01009590"
"F805H","Queen Margaret Hospital","KY12 0SU","Whitefield Road, Dunfermline","S08000029","S37000032","S12000047","S02001750","S01009326"
"F810H","Lynebank Hospital","KY11 8JH","Halbeath Road, Dunfermline","S08000029","S37000032","S12000047","S02001768","S01009404"
"V102H","Falkirk Community Hospital","FK1 5QE","Majors Loan, Falkirk","S08000019","S37000013","S12000014","S02001716","S01009155"
"V105H","Bo'ness Hospital","EH51 0DH","Dean Road, Bo'ness","S08000019","S37000013","S12000014","S02001736","S01009257"
"V106H","Bellsdyke Hospital","FK5 4SF","Bellsdyke Road, Larbert","S08000019","S37000013","S12000014","S02001703","S01009090"
"V201H","Stirling Community Hospital","FK8 2AU","Livilands Gate, Stirling","S08000019","S37000005","S12000030","S02002447","S01013060"
"V214H","Lochview Hospital","FK5 4SE","Stirling Road, Larbert","S08000019","S37000013","S12000014","S02001703","S01009088"
"V215H","Bungalows/Red Lodge","FK5 4AE","Stirling Road, Larbert, Stirlingshire","S08000019","S37000013","S12000014","S02001704","S01009095"
"V216H","Clackmannanshire Community Healthcare Centre","FK10 3JQ","Hall Park Road, Sauchie","S08000019","S37000005","S12000005","S02001401","S01007460"
"V217H","Forth Valley Royal Hospital","FK5 4WR","Stirling Road, Larbert","S08000019","S37000013","S12000014","S02001703","S01009088"
"N101H","Aberdeen Royal Infirmary","AB25 2ZN","Foresterhill Road, Aberdeen","S08000020","S37000001","S12000033","S02001245","S01006563"
"N102H","Woodend General Hospital","AB15 6XS","Aberdeen","S08000020","S37000001","S12000033","S02001244","S01006555"
"N103H","City Hospital","AB24 5AU","Urquhart Road, Aberdeen","S08000020","S37000001","S12000033","S02001260","S01006641"
"N104H","Woolmanhill Hospital","AB25 1LD","Skene Street, Aberdeen","S08000020","S37000001","S12000033","S02001261","S01006648"
"N106H","The Baird Family Hospital","AB25 2ZL","Foresterhill Health Campus, Foresterhill Road, Aberdeen","S08000020","S37000001","S12000033","S02001245","S01006563"
"N111H","Hyperbaric Centre","AB16 5FA","123 Ashgrove Road West, Aberdeen","S08000020","S37000001","S12000033","S02001269","S01006694"
"N121H","Royal Aberdeen Children's Hospital","AB25 2ZG","Westburn Drive, Aberdeen","S08000020","S37000001","S12000033","S02001245","S01006563"
"N151H","Aboyne Hospital","AB34 5HQ","Bellwood Road, Aboyne","S08000020","S37000002","S12000034","S02001286","S01006799"
"N161H","Aberdeen Maternity Hospital","AB25 2ZL","Foresterhill, Aberdeen","S08000020","S37000001","S12000033","S02001245","S01006563"
"N181H","Glen O'Dee Hospital","AB31 5SA","Banchory","S08000020","S37000002","S12000034","S02001299","S01006872"
"N183H","Roxburghe House","AB25 2ZH","Cornhill Site, Ashgrove Road, Aberdeen","S08000020","S37000001","S12000033","S02001262","S01006655"
"N184H","Maidencraig House","AB15 6XS","Woodend Hospital, Eday Road","S08000020","S37000001","S12000033","S02001244","S01006555"
"N198H","Royal Cornhill Hospital","AB25 2ZH","Cornhill Road, Aberdeen","S08000020","S37000001","S12000033","S02001262","S01006655"
"N331H","Inverurie Hospital","AB51 3UL","Upperboat Road, Inverurie","S08000020","S37000002","S12000034","S02001304","S01006905"
"N332H","Insch & District War Memorial Hosp.","AB52 6JJ","Rannes Street, Insch","S08000020","S37000002","S12000034","S02001319","S01007001"
"N333H","Peterhead Community Hospital","AB42 2XB","Links Terrace, Peterhead","S08000020","S37000002","S12000034","S02001335","S01007080"
"N334H","Fraserburgh Hospital","AB43 9NF","Lochpots Road, Fraserburgh","S08000020","S37000002","S12000034","S02001342","S01007123"
"N335H","Jubilee Hospital","AB54 8EX","Bleachfield Street, Huntly","S08000020","S37000002","S12000034","S02001321","S01007010"
"N336H","Turriff Cottage Hospital","AB53 4DQ","Balmellie Road, Turriff","S08000020","S37000002","S12000034","S02001323","S01007022"
"N337H","Chalmers Hospital","AB45 1JA","Banff","S08000020","S37000002","S12000034","S02001326","S01007032"
"N352H","Ugie Hospital","AB42 1LZ","Ugie Road, Peterhead","S08000020","S37000002","S12000034","S02001337","S01007094"
"N401E","Buckie Day Hospital","AB56 1SF","The Bungalow, Seafield Hospital, Buckie","S08000020","S37000019","S12000020","S02002079","S01011081"
"N411H","Dr Gray's Hospital","IV30 1SN","Elgin, Morayshire","S08000020","S37000019","S12000020","S02002087","S01011118"
"N431H","Seafield Hospital","AB56 1SF","Barrhill Road, Buckie","S08000020","S37000019","S12000020","S02002079","S01011081"
"N432H","Stephen Cottage Hospital","AB55 4BH","Stephen Avenue, Dufftown","S08000020","S37000019","S12000020","S02002073","S01011049"
"N433H","Turner Memorial Hospital","AB55 5DJ","Turner Street, Keith","S08000020","S37000019","S12000020","S02002076","S01011062"
"N434H","Leanchoil Hospital","IV36 2RF","91 St Leonard's Road, Forres","S08000020","S37000019","S12000020","S02002096","S01011167"
"N451H","Fleming Cottage Hospital","AB38 9PR","Queens Road, Aberlour","S08000020","S37000019","S12000020","S02002074","S01011052"
"N492H","Rehabilitation Hospital","AB11 7RS","15 Polmuir Road, Aberdeen","S08000020","S37000001","S12000033","S02001252","S01006598"
"N494H","Kincardine Community Hospital","AB39 2NJ","Kirkton Road, Stonehaven","S08000020","S37000002","S12000034","S02001291","S01006826"
"N495H","Pluscarden Clinic","IV30 1SN","Dr Gray's Hospital, Elgin","S08000020","S37000019","S12000020","S02002087","S01011118"
"N496H","375 Great Western Lodge","AB10 6NU","375 Great Western Road, Aberdeen","S08000020","S37000001","S12000033","S02001240","S01006533"
"N499H","Elmwood","AB25 3BW","Ashgrove Road, Aberdeen","S08000020","S37000001","S12000033","S02001262","S01006655"
"N500H","Aberdeen Community Health and Care Village","AB24 5HY","50 Frederick Street, Aberdeen","S08000020","S37000001","S12000033","S02001259","S01006639"
"C204H","Dumbarton Joint Hospital/Riverview Resource Centre","G82 5JA","Cardross Road, Dumbarton","S08000031","S37000029","S12000039","S02002472","S01013202"
"C206H","Vale of Leven General Hospital","G83 0UA","North Main Street, Alexandria","S08000031","S37000029","S12000039","S02002476","S01013228"
"C310H","Ravenscraig Hospital","PA16 9HA","Inverkip Road, Greenock","S08000031","S37000017","S12000018","S02002035","S01010823"
"C313H","Inverclyde Royal Hospital","PA16 0XN","Larkfield Road, Greenock","S08000031","S37000017","S12000018","S02002041","S01010856"
"C403H","Dykebar Hospital","PA2 7DE","Grahamston Road, Paisley","S08000031","S37000024","S12000038","S02002255","S01012027"
"C418H","Royal Alexandra Hospital","PA2 9PN","Corsebar Road, Paisley","S08000031","S37000024","S12000038","S02002270","S01012107"
"C419H","Larkfield Unit","PA16 0XN","Inverclyde Royal Hospital, Larkfield Road, Greenock","S08000031","S37000017","S12000018","S02002041","S01010856"
"C420H","Blythswood House","PA4 8NT","Fulbar Lane, Renfrew","S08000031","S37000024","S12000038","S02002282","S01012186"
"G106H","Glasgow Dental Hospital and School","G2 3JZ","378 Sauchiehall Street, Glasgow","S08000031","S37000034","S12000049","S02001933","S01010267"
"G107H","Glasgow Royal Infirmary","G4 0SF","84 Castle Street, Glasgow","S08000031","S37000034","S12000049","S02001932","S01010262"
"G108H","The Princess Royal Maternity Unit","G31 2ER","16 Alexandra Parade, Glasgow","S08000031","S37000034","S12000049","S02001932","S01010262"
"G109H","Lightburn Hospital","G32 6NB","966 Carntyne Road, Glasgow","S08000031","S37000034","S12000049","S02001914","S01010159"
"G110H","Acorn Street Day Hospital","G40 4AN","21-23 Acorn Street, Glasgow","S08000031","S37000034","S12000049","S02001892","S01010043"
"G112H","Parkview Resource Centre","G32 7AX","152 Wellshot Road, Glasgow","S08000031","S37000034","S12000049","S02001911","S01010144"
"G113H","Auchinlea Resource Centre","G34 9HQ","Auchinlea House, Auchinlea Road, Glasgow","S08000031","S37000034","S12000049","S02001906","S01010114"
"G207H","Stobhill Hospital","G21 3UW","133 Balornock Road, Glasgow","S08000031","S37000034","S12000049","S02001922","S01010209"
"G212H","Shawpark Resource Centre","G20 9DR","41 Shawpark Street, Glasgow","S08000031","S37000034","S12000049","S02001949","S01010359"
"G214H","Springpark Resource Centre/Day Hosp","G22 5EU","101 Denmark Street, Glasgow","S08000031","S37000034","S12000049","S02001924","S01010224"
"G302H","Leverndale Hospital","G53 7TU","510 Crookston Road, Glasgow","S08000031","S37000034","S12000049","S02001849","S01009804"
"G303H","Mearnskirk House","G77 5RZ","Newton Mearns, Glasgow","S08000031","S37000011","S12000011","S02001564","S01008349"
"G306H","New Victoria Hospital","G42 9LF","55 Grange Road, Glasgow","S08000031","S37000034","S12000049","S02001867","S01009904"
"G405H","Queen Elizabeth University Hospital","G51 4TF","1345 Govan Road, Glasgow","S08000031","S37000034","S12000049","S02001855","S01009833"
"G408H","Florence Street Mental Health Resource Centre","G5 0YX","26 Florence Street, Glasgow","S08000031","S37000034","S12000049","S02001889","S01010025"
"G410H","Shawmill Resource Centre","G43 1RR","35 Well Green, Glasgow","S08000031","S37000034","S12000049","S02001873","S01009935"
"G504H","Gartnavel General Hospital (Admin Purposes)","G12 0YN","1053 Great Western Road, Glasgow","S08000031","S37000034","S12000049","S02001958","S01010412"
"G505H","Gartnavel Royal Hospital","G12 0XH","1055 Great Western Road, Glasgow","S08000031","S37000034","S12000049","S02001958","S01010412"
"G507H","Centre for Integrative Care","G12 0YN","1053 Great Western Road, Glasgow","S08000031","S37000034","S12000049","S02001958","S01010412"
"G513H","Royal Hospital for Children","G51 4TF","1345 Govan Road, Glasgow","S08000031","S37000034","S12000049","S02001855","S01009833"
"G516H","West Glasgow","G12 0YN","1053 Great Western Road, Glasgow","S08000031","S37000034","S12000049","S02001958","S01010412"
"G517H","Beatson West of Scotland Cancer Centre","G12 0YN","1053 Great Western Road, Glasgow","S08000031","S37000034","S12000049","S02001958","S01010412"
"G596H","Anvil Resource Centre","G31 5ES","81 Salamanca Street, Glasgow","S08000031","S37000034","S12000049","S02001894","S01010052"
"G598H","Arran Resource Centre","G40 2BJ","121 Orr Street, Bridgeton, Glasgow","S08000031","S37000034","S12000049","S02001894","S01010055"
"G599H","Riverside Resource Centre","G11 6HU","547 Dumbarton Road, Glasgow","S08000031","S37000034","S12000049","S02001954","S01010388"
"G600H","Festival Business Park","G51 1DH","150 Brand Street, Glasgow","S08000031","S37000034","S12000049","S02001860","S01009862"
"G602H","Eastwood Resource Centre","G76 7QF","38 Seres Rd, Clarkston, Glasgow","S08000031","S37000011","S12000011","S02001569","S01008382"
"G603H","Arndale Resource Centre","G15 7TS","80/90 Kinfauns Drive, Glasgow","S08000031","S37000034","S12000049","S02001976","S01010499"
"G605H","Bridgeview Resource Centre","G20 9PX","The Quadrangle, 49 Ruchill Street, Glasgow","S08000031","S37000034","S12000049","S02001941","S01010319"
"G607H","Woodlands Resource Centre","G66 2HL","15-17 Waterloo Close, Kirkintilloch","S08000031","S37000009","S12000045","S02001527","S01008135"
"G608H","2-4 Waterloo Close","G66 2HL","2-4 Waterloo Close, Kirkintilloch","S08000031","S37000009","S12000045","S02001527","S01008135"
"G609H","The Orchards","G20 7SJ","135 Panmure Street, Glasgow","S08000031","S37000034","S12000049","S02001940","S01010314"
"G610H","Pineview","G61 1QN","Switchback Road, Bearsden, Glasgow","S08000031","S37000009","S12000045","S02001515","S01008072"
"G611H","Netherton","G13 1AL","19 Blackwood Street, Glasgow","S08000031","S37000034","S12000049","S02001971","S01010472"
"G612H","Rowanbank Clinic","G21 3UL","Balornock Road, Glasgow","S08000031","S37000034","S12000049","S02001919","S01010198"
"G613H","Skye House","G21 3UZ","133 Balornock Road, Glasgow","S08000031","S37000034","S12000049","S02001922","S01010209"
"G614H","Orchard View","PA16 0XN","Inverclyde Adult and Older Peoples, Continuing Care Hospital, Larkfield Road, Greenock","S08000031","S37000017","S12000018","S02002041","S01010856"
"G615H","The Mary Aitkenhead Centre","G81 1EG","St Margaret's Hospice, East Barns Street, Clydebank","S08000031","S37000029","S12000039","S02002460","S01013125"
"C101H","Argyll and Bute Hospital","PA31 8LD","Blarbuie Road, Lochgilphead","S08000022","S37000004","S12000035","S02001376","S01007317"
"C106H","Cowal Community Hospital","PA23 7RL","360 Argyll Street, Dunoon","S08000022","S37000004","S12000035","S02001385","S01007365"
"C108H","Islay Hospital","PA43 7JD","Gortonvogie Road, Bowmore, Isle of Islay","S08000022","S37000004","S12000035","S02001378","S01007327"
"C113H","Victoria Hospital","PA20 9JJ","High Street, Rothesay","S08000022","S37000004","S12000035","S02001382","S01007348"
"C114H","Victoria Hospital Annexe","PA20 9JH","Townhead, Rothesay","S08000022","S37000004","S12000035","S02001382","S01007348"
"C121H","Lorn & Islands Hospital","PA34 4HH","Glengallan Road, Oban","S08000022","S37000004","S12000035","S02001371","S01007291"
"C122H","Campbeltown Hospital","PA28 6LE","Ralston Road, Campbeltown","S08000022","S37000004","S12000035","S02001380","S01007337"
"H101H","Dunbar Hospital","KW14 7XE","Thurso, Caithness","S08000022","S37000016","S12000017","S02002030","S01010797"
"H103H","Caithness General Hospital","KW1 5NS","Cliff Road, Wick","S08000022","S37000016","S12000017","S02002027","S01010781"
"H104H","Wick Town and County Hospital","KW1 5NQ","Hospital Road, Wick, Caithness","S08000022","S37000016","S12000017","S02002027","S01010780"
"H106H","Lawson Memorial Hospital","KW10 6SS","Station Road, Golspie","S08000022","S37000016","S12000017","S02002025","S01010766"
"H201H","RNI Community Hospital","IV3 5SF","Ness Walk, Inverness","S08000022","S37000016","S12000017","S02002000","S01010631"
"H202H","Raigmore Hospital","IV2 3UJ","Inverness","S08000022","S37000016","S12000017","S02001998","S01010624"
"H208H","Nairn Town and County Hospital","IV12 5EE","Cawdor Road, Nairn","S08000022","S37000016","S12000017","S02001986","S01010556"
"H210H","Ian Charles Community Hospital","PH26 3HR","Castle Road East, Grantown-on-Spey","S08000022","S37000016","S12000017","S02001984","S01010546"
"H211H","St Vincent's Hospital","PH21 1EX","Gynack Road, Kingussie","S08000022","S37000016","S12000017","S02001982","S01010533"
"H212H","Belford Hospital","PH33 6BS","Belford Road, Fort William","S08000022","S37000016","S12000017","S02001980","S01010522"
"H213H","Glencoe Hospital","PH49 4HT","Glencoe, Ballachulish, Argyll","S08000022","S37000016","S12000017","S02001981","S01010525"
"H214H","Mackinnon Memorial Hospital","IV49 9AA","Broadford, Isle of Skye","S08000022","S37000016","S12000017","S02002008","S01010673"
"H215H","Portree Hospital","IV51 9BZ","Portree, Isle of Skye","S08000022","S37000016","S12000017","S02002009","S01010679"
"H217H","Ross Memorial Hospital","IV15 9QT","Ferry Road, Dingwall","S08000022","S37000016","S12000017","S02002017","S01010716"
"H219H","County Community Hospital Invergordon","IV18 0JR","Invergordon","S08000022","S37000016","S12000017","S02002021","S01010744"
"H221H","Osprey House","IV2 3DZ","Raigmore Avenue, Inverness","S08000022","S37000016","S12000017","S02001998","S01010624"
"H223H","New Craigs Hospital","IV3 8PJ","Leachkin Road, Inverness","S08000022","S37000016","S12000017","S02002004","S01010650"
"H224H","Mid-Argyll Community Hospital and Integrated Care Centre","PA31 8JZ","Lochgilphead, Argyll","S08000022","S37000004","S12000035","S02001376","S01007317"
"H225H","Dunaros Community Hospital","PA72 6JF","Salen, Isle of Mull, Argyll","S08000022","S37000004","S12000035","S02001370","S01007285"
"H226H","Migdale Hospital","IV24 3ER","Cherry Grove, Bonar Bridge, Sutherland","S08000022","S37000016","S12000017","S02002024","S01010763"
"H227H","Mull and Iona Community Hospital","PA65 6BH","Java Road, Craignure, Isle Of Mull","S08000022","S37000004","S12000035","S02001370","S01007288"
"H228H","Aviemore Hospital (Land)","PH22 1PB","Aviemore Hospital (Land), Cairngorm Technology Park, Aviemore","S08000022","S37000016","S12000017","S02001983","S01010539"
"L103H","Coathill Hospital","ML5 4DN","Hospital Street, Coatbridge","S08000032","S37000035","S12000050","S02002171","S01011570"
"L104H","Victoria Memorial Cottage Hospital","G65 9AG","19 Glasgow Road, Kilsyth","S08000032","S37000035","S12000050","S02002211","S01011797"
"L105H","Wester Moffat Hospital","ML6 8LW","Towers Road, Airdrie","S08000032","S37000035","S12000050","S02002182","S01011628"
"L106H","University Hospital Monklands","ML6 0JS","Monkscourt Avenue, Airdrie","S08000032","S37000035","S12000050","S02002186","S01011652"
"L203H","Cleland Hospital","ML1 5NR","Cleland, Motherwell, Lanarkshire","S08000032","S37000035","S12000050","S02002150","S01011451"
"L204H","Hartwoodhill Hospital","ML7 4LA","Hartwood, Shotts","S08000032","S37000035","S12000050","S02002146","S01011429"
"L206H","Kello Hospital","ML12 6AF","Johns Loan, Biggar","S08000032","S37000028","S12000029","S02002355","S01012576"
"L207H","Lady Home Cottage Hospital","ML11 0RH","Douglas, Lanark","S08000032","S37000028","S12000029","S02002368","S01012638"
"L209H","Lockhart Hospital","ML11 7RX","Whitelees Road, Lanark","S08000032","S37000028","S12000029","S02002366","S01012628"
"L211H","Roadmeetings Hospital","ML8 4PS","Roadmeetings, Carluke","S08000032","S37000028","S12000029","S02002363","S01012617"
"L213H","Strathclyde Hospital","ML1 3BW","Crawford Street, Motherwell","S08000032","S37000035","S12000050","S02002156","S01011478"
"L216H","Kirklands Hospital","G71 8BB","Fallside Road, Bothwell","S08000032","S37000028","S12000029","S02002400","S01012806"
"L218H","Airbles Road Centre","ML1 2TJ","Airbles Road, Motherwell","S08000032","S37000035","S12000050","S02002138","S01011380"
"L302H","University Hospital Hairmyres","G75 8RG","Eaglesham Road, East Kilbride","S08000032","S37000028","S12000029","S02002427","S01012955"
"L304H","Stonehouse Hospital","ML9 3NT","Strathaven Road, Stonehouse","S08000032","S37000028","S12000029","S02002376","S01012678"
"L305H","Udston Hospital","ML3 9LA","Farm Road, Hamilton","S08000032","S37000028","S12000029","S02002395","S01012774"
"L306H","Coathill House","ML5 5EA","3 Old Monkland Road, Coatbridge","S08000032","S37000035","S12000050","S02002171","S01011569"
"L307H","Beckford Lodge","ML3 0AZ","Caird Street, Hamilton","S08000032","S37000028","S12000029","S02002398","S01012794"
"L308H","University Hospital Wishaw","ML2 0DP","50 Netherton Street, Wishaw","S08000032","S37000035","S12000050","S02002139","S01011387"
"L395E","Red Deer Centre/Day Hospital","G75 8NH","Alberta Avenue, Westwood, East Kilbride","S08000032","S37000028","S12000029","S02002433","S01012987"
"S102H","Belhaven Hospital","EH42 1TR","Hospital Road, Dunbar","S08000024","S37000010","S12000010","S02001554","S01008286"
"S103H","Corstorphine Hospital","EH12 6TT","136 Corstorphine Road, Edinburgh","S08000024","S37000012","S12000036","S02001679","S01008973"
"S107H","Edenhall Hospital","EH21 7TZ","Edenhall Road, Musselburgh","S08000024","S37000010","S12000010","S02001538","S01008190"
"S108H","Edington Cottage Hospital","EH39 4PU","54 St Baldred's Road, North Berwick","S08000024","S37000010","S12000010","S02001552","S01008273"
"S109H","Herdmanflat Hospital","EH41 3BU","Aberlady Road, Haddington","S08000024","S37000010","S12000010","S02001548","S01008253"
"S113H","Roodlands General Hospital","EH41 3PF","Hospital Road, Haddington","S08000024","S37000010","S12000010","S02001548","S01008252"
"S114H","Royal Victoria Hospital","EH4 2DN","13 Craigleith Road, Edinburgh","S08000024","S37000012","S12000036","S02001663","S01008887"
"S116H","Western General Hospital","EH4 2XU","Crewe Road South, Edinburgh","S08000024","S37000012","S12000036","S02001663","S01008890"
"S201H","Astley Ainslie Hospital","EH9 2HL","Grange Loan, Edinburgh","S08000024","S37000012","S12000036","S02001615","S01008624"
